username,date_of_birth,gender,governorate,education_level,current_school_or_institution,interests,assigned_counselor,assigned_mentor,status,notes
synth_youth1,2006-05-15,M,TUNIS,BAC,Lycée Sadiki,Informatique,synth_counselor1,synth_mentor1,IN_MENTORSHIP,Jeune motivé avec de bonnes bases en mathématiques.
synth_youth2,2004-08-20,F,SFAX,LICENCE,Université de Sfax,Santé,synth_counselor1,synth_mentor2,PLAN_ACTIVE,Étudiante sérieuse en sciences biologiques.
synth_youth3,2007-03-10,M,SOUSSE,LYCEE,Lycée Ibn Khaldoun,Commerce|Tourisme,synth_counselor1,,ASSESSED,Intéressé par l'entrepreneuriat et le commerce international.
synth_youth4,2005-11-25,F,TUNIS,BAC_PLUS_2,ISET Tunis,Informatique|Ingénierie,synth_counselor1,synth_mentor1,IN_MENTORSHIP,Excellente en programmation Python et Java.
synth_youth5,2008-01-07,M,NABEUL,LYCEE,Lycée de Nabeul,Agriculture,synth_counselor1,,REGISTERED,Fils d'agriculteur passionné par l'agriculture moderne.
synth_youth6,2003-06-30,F,GABES,LICENCE,Université de Gabès,Ingénierie,synth_counselor1,synth_mentor4,COMPLETED,A terminé son parcours avec succès. Emploi trouvé en génie civil.
synth_youth7,2006-09-14,M,BIZERTE,BAC,Lycée de Bizerte,Commerce,synth_counselor1,,ASSESSED,Bon niveau en économie et gestion.
synth_youth8,2007-04-22,F,MONASTIR,LYCEE,Lycée Bourguiba,Éducation|Santé,synth_counselor1,,REGISTERED,Souhaite devenir enseignante ou infirmière.
synth_youth9,2005-12-03,M,KAIROUAN,BAC,Lycée de Kairouan,Artisanat,synth_counselor1,,ASSESSED,Passionné par la poterie et l'artisanat traditionnel tunisien.
synth_youth10,2004-07-18,F,TUNIS,LICENCE,Université de Tunis,Informatique,synth_counselor1,synth_mentor1,IN_MENTORSHIP,Développeuse web en formation. Très autonome.
synth_youth11,2008-02-28,M,SFAX,COLLEGE,Collège de Sfax,Commerce,synth_counselor2,,REGISTERED,Jeune en décrochage scolaire. Besoin d'accompagnement renforcé.
synth_youth12,2006-10-05,F,SOUSSE,BAC,Lycée de Sousse,Santé,synth_counselor2,synth_mentor2,PLAN_ACTIVE,Aspire à devenir infirmière. Très empathique.
synth_youth13,2005-03-17,M,TUNIS,BAC_PLUS_2,ISET El Bardo,Informatique|Commerce,synth_counselor2,,ASSESSED,Technicien en informatique de gestion.
synth_youth14,2007-08-09,F,JENDOUBA,LYCEE,Lycée de Jendouba,Agriculture|Éducation,synth_counselor2,,REGISTERED,Région rurale. Intérêt pour l'agro-alimentaire.
synth_youth15,2004-01-20,M,GAFSA,LICENCE,Université de Gafsa,Ingénierie,synth_counselor2,synth_mentor4,PLAN_ACTIVE,Étudiant en génie mécanique. Cherche stage.
synth_youth16,2006-06-11,F,TUNIS,BAC,Lycée Carthage,Tourisme|Commerce,synth_counselor2,,ASSESSED,Parle 3 langues. Intéressée par le tourisme culturel.
synth_youth17,2008-11-30,M,KASSERINE,DROPOUT,,Commerce,synth_counselor2,,INACTIVE,A abandonné l'école. Situation familiale difficile.
synth_youth18,2005-04-25,F,MAHDIA,BAC_PLUS_2,ISET Mahdia,Santé,synth_counselor2,synth_mentor2,IN_MENTORSHIP,Technicienne en soins de santé. Cherche spécialisation.
synth_youth19,2007-07-08,M,BEJA,LYCEE,Lycée de Béja,Agriculture|Ingénierie,synth_counselor2,,REGISTERED,Intéressé par l'irrigation et les nouvelles technologies agricoles.
synth_youth20,2004-09-15,F,TUNIS,MASTER,Université de Tunis El Manar,Informatique,synth_counselor2,synth_mentor1,COMPLETED,Master en intelligence artificielle. Emploi trouvé dans une startup.
synth_youth21,2006-02-14,M,MEDNINE,BAC,Lycée de Médenine,Tourisme,synth_counselor1,,ASSESSED,Région touristique. Veut travailler dans l'hôtellerie.
synth_youth22,2005-05-19,F,SFAX,LICENCE,Université de Sfax,Commerce|Ingénierie,synth_counselor1,,PLAN_ACTIVE,Étudiante en génie industriel et management.
synth_youth23,2008-08-03,M,TUNIS,LYCEE,Lycée Ibn Rachiq,Informatique,synth_counselor2,,REGISTERED,Passionné par la cybersécurité et les réseaux.
synth_youth24,2006-12-21,F,ZAGHOUAN,BAC,Lycée de Zaghouan,Éducation,synth_counselor2,,ASSESSED,Souhaite devenir enseignante de mathématiques.
synth_youth25,2005-10-10,M,SILIANA,BAC_PLUS_2,ISET Siliana,Agriculture|Commerce,synth_counselor1,,REGISTERED,Fils d'agriculteur. Veut moderniser l'exploitation familiale.
