youth_username,created_by_username,status,objectives,target_sector,start_date,end_date,milestones
synth_youth1,synth_counselor1,ACTIVE,Acquérir les compétences en développement web full-stack et décrocher un premier emploi dans une startup tunisienne.,Informatique,2025-09-15,2026-03-15,"[{""title"": ""Compléter formation HTML/CSS/JS"", ""due_date"": ""2025-10-15"", ""done"": true}, {""title"": ""Projet personnel React"", ""due_date"": ""2025-12-01"", ""done"": true}, {""title"": ""Stage en entreprise"", ""due_date"": ""2026-02-01"", ""done"": false}]"
synth_youth2,synth_counselor1,VALIDATED,Préparer le concours d'entrée en école de soins infirmiers et obtenir une place pour la rentrée 2026.,Santé,2025-10-10,2026-06-30,"[{""title"": ""Révision biologie et chimie"", ""due_date"": ""2025-12-01"", ""done"": true}, {""title"": ""Inscription concours"", ""due_date"": ""2026-01-15"", ""done"": false}, {""title"": ""Préparation entretien"", ""due_date"": ""2026-03-01"", ""done"": false}]"
synth_youth4,synth_counselor1,ACTIVE,Obtenir une certification en développement Java et intégrer une entreprise de services numériques.,Informatique,2025-08-25,2026-02-28,"[{""title"": ""Certification Java SE"", ""due_date"": ""2025-10-30"", ""done"": true}, {""title"": ""Projet Spring Boot"", ""due_date"": ""2025-12-15"", ""done"": true}, {""title"": ""Candidatures entreprises"", ""due_date"": ""2026-01-31"", ""done"": false}]"
synth_youth6,synth_counselor1,COMPLETED,Finaliser le master en génie civil et trouver un emploi dans un bureau d'études.,Ingénierie,2024-06-20,2025-06-20,"[{""title"": ""Soutenance mémoire"", ""due_date"": ""2024-09-30"", ""done"": true}, {""title"": ""Candidatures bureaux d'études"", ""due_date"": ""2024-11-30"", ""done"": true}, {""title"": ""Signature contrat"", ""due_date"": ""2025-01-15"", ""done"": true}]"
synth_youth10,synth_counselor1,ACTIVE,Développer un portfolio de projets web et décrocher un emploi de développeuse front-end.,Informatique,2025-09-30,2026-04-30,"[{""title"": ""Portfolio GitHub"", ""due_date"": ""2025-11-30"", ""done"": true}, {""title"": ""Candidatures startups"", ""due_date"": ""2026-01-31"", ""done"": false}, {""title"": ""Entretiens techniques"", ""due_date"": ""2026-03-15"", ""done"": false}]"
synth_youth12,synth_counselor2,ACTIVE,Intégrer l'école de soins infirmiers de Sousse et valider la première année.,Santé,2025-11-15,2026-09-30,"[{""title"": ""Dossier d'inscription"", ""due_date"": ""2025-12-15"", ""done"": true}, {""title"": ""Concours d'entrée"", ""due_date"": ""2026-02-28"", ""done"": false}, {""title"": ""Début formation"", ""due_date"": ""2026-09-01"", ""done"": false}]"
synth_youth15,synth_counselor2,ACTIVE,Trouver un stage de fin d'études en génie mécanique et rédiger le mémoire.,Ingénierie,2025-10-05,2026-06-30,"[{""title"": ""Recherche stage"", ""due_date"": ""2025-11-30"", ""done"": true}, {""title"": ""Début stage"", ""due_date"": ""2026-01-15"", ""done"": false}, {""title"": ""Rédaction mémoire"", ""due_date"": ""2026-05-31"", ""done"": false}]"
synth_youth18,synth_counselor2,VALIDATED,Se spécialiser en soins pédiatriques et intégrer un hôpital public.,Santé,2025-10-15,2026-08-31,"[{""title"": ""Formation spécialisée"", ""due_date"": ""2026-01-31"", ""done"": false}, {""title"": ""Candidatures hôpitaux"", ""due_date"": ""2026-04-30"", ""done"": false}, {""title"": ""Entretiens"", ""due_date"": ""2026-06-30"", ""done"": false}]"
synth_youth20,synth_counselor2,COMPLETED,Finaliser le master IA et rejoindre une startup tech tunisienne.,Informatique,2024-03-15,2025-03-15,"[{""title"": ""Soutenance master"", ""due_date"": ""2024-06-30"", ""done"": true}, {""title"": ""Candidatures startups"", ""due_date"": ""2024-09-30"", ""done"": true}, {""title"": ""Prise de poste"", ""due_date"": ""2024-11-01"", ""done"": true}]"
synth_youth22,synth_counselor1,ACTIVE,Obtenir un double diplôme ingénierie/management et intégrer une multinationale.,Commerce,2025-12-01,2026-12-31,"[{""title"": ""Dossier double diplôme"", ""due_date"": ""2026-01-31"", ""done"": false}, {""title"": ""Stage international"", ""due_date"": ""2026-06-30"", ""done"": false}, {""title"": ""Candidatures multinationales"", ""due_date"": ""2026-10-31"", ""done"": false}]"
synth_youth7,synth_counselor1,DRAFT,Créer une micro-entreprise de commerce en ligne spécialisée en produits artisanaux tunisiens.,Commerce,2026-01-15,2026-12-31,"[{""title"": ""Étude de marché"", ""due_date"": ""2026-02-28"", ""done"": false}, {""title"": ""Création entreprise"", ""due_date"": ""2026-04-30"", ""done"": false}]"
