youth_username,conducted_by_username,assessment_date,status,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,recommended_sectors
synth_youth1,synth_counselor1,2025-09-10,COMPLETED,5,2,1,3,1,2,4,2,4,5,Informatique|Ingénierie
synth_youth2,synth_counselor1,2025-10-05,COMPLETED,2,5,1,3,1,2,2,4,3,4,Santé|Éducation
synth_youth3,synth_counselor1,2025-11-12,COMPLETED,2,1,1,5,1,4,1,2,4,2,Commerce|Tourisme
synth_youth4,synth_counselor1,2025-08-20,COMPLETED,5,2,1,3,1,1,5,2,4,5,Informatique|Ingénierie
synth_youth6,synth_counselor1,2024-06-15,COMPLETED,2,2,1,3,1,2,5,2,3,5,Ingénierie
synth_youth7,synth_counselor1,2025-12-01,COMPLETED,1,1,1,5,2,3,1,2,4,2,Commerce
synth_youth9,synth_counselor1,2025-10-20,COMPLETED,1,1,2,3,5,2,1,2,3,2,Artisanat
synth_youth10,synth_counselor1,2025-09-25,COMPLETED,5,2,1,3,1,1,4,2,4,5,Informatique
synth_youth12,synth_counselor2,2025-11-08,COMPLETED,2,5,1,2,1,2,2,4,3,4,Santé
synth_youth13,synth_counselor2,2025-10-15,COMPLETED,4,2,1,4,1,2,3,2,4,4,Informatique|Commerce
synth_youth15,synth_counselor2,2025-09-30,COMPLETED,2,2,1,3,1,1,5,2,3,5,Ingénierie
synth_youth16,synth_counselor2,2025-11-20,COMPLETED,2,2,1,4,1,5,2,2,4,2,Tourisme|Commerce
synth_youth18,synth_counselor2,2025-10-10,COMPLETED,2,5,1,2,1,2,2,4,3,4,Santé
synth_youth20,synth_counselor2,2024-03-10,COMPLETED,5,2,1,3,1,1,4,2,4,5,Informatique
synth_youth21,synth_counselor1,2025-12-05,COMPLETED,1,1,1,3,1,5,1,2,4,2,Tourisme
synth_youth22,synth_counselor1,2025-11-25,COMPLETED,2,2,1,5,1,2,4,2,4,4,Commerce|Ingénierie
synth_youth24,synth_counselor2,2025-12-10,COMPLETED,1,2,1,3,1,2,1,5,3,3,Éducation
